Day,Date,Route,Total Time (minutes)
1,2025-06-23,SAO_MATEUS -> SPSPO_0428 -> SPSPO_0420 -> SPSPO_3965 -> SPSPO_0922 -> SPSPO12315 -> SPCPV_0002 -> SPSPO_0469 -> SPSPO_0166 -> SAO_MATEUS,527.84
2,2025-06-24,SAO_MATEUS -> SPSPO_0463 -> SPSPO_0504 -> SPSPO_0756 -> SPSPO_0345 -> SPSPO_0210 -> SPSPO12362 -> SPOCO_0003 -> SAO_MATEUS,514.6
3,2025-06-25,SAO_MATEUS -> SPSPO_0178 -> SPSPO_3885 -> SPIAQ_0004 -> SPGRS_0286 -> SPMCZ_0015 -> SPMCZ_1468 -> SAO_MATEUS,453.16
4,2025-06-26,SAO_MATEUS -> SPSBO_1453 -> SPSPO_0176 -> SPSPO_0172 -> SPSPO12096 -> SPSPO_0524 -> SPEMB_0003 -> SPSPO_0252 -> SAO_MATEUS,514.45
5,2025-06-27,SAO_MATEUS -> SPCEG_0001 -> SPSPO12146 -> SPSPO_0213 -> SPSPO_1179 -> SPTBS_0009 -> SPTBS_0004 -> SPGTA_0017 -> SAO_MATEUS,511.28
6,2025-06-30,SAO_MATEUS -> SPCOA_0001 -> SPCOA_0105 -> SPJAD_0005 -> SPITE_0010 -> SPIBN_0001 -> SAO_MATEUS,485.91
7,2025-07-01,SAO_MATEUS -> SPFCR_0025 -> SPFAT_0007 -> SPFAT_0019 -> SPFAT_0018 -> SPCMX_0003 -> SPVRP_0001 -> SAO_MATEUS,503.81
8,2025-07-02,SAO_MATEUS -> SPAIA_0001 -> SPAIA_0687 -> SPAIA_0006 -> SPAIA_0003 -> SPBGP_0001 -> SAO_MATEUS,494.21
9,2025-07-03,SAO_MATEUS -> SPGRM_0015 -> SPGRM_0002 -> SPJCI_0012 -> SPSJC_0123 -> SPSJC_0267 -> SAO_MATEUS,512.77
10,2025-07-04,SAO_MATEUS -> SPPGE_0039 -> SPNZP_0010 -> SPVARG0004 -> SAO_MATEUS,466.38
11,2025-07-07,SAO_MATEUS -> SPCJR_0014 -> SPVRP_0003 -> SPJAI_0018 -> SPITA_0038 -> SPVOS_0016 -> SAO_MATEUS,526.41
12,2025-07-08,SAO_MATEUS -> SPCVA_0002 -> SPCVA_0008 -> SPVIN_0004 -> SPHORT0402 -> SAO_MATEUS,527.3
13,2025-07-09,SAO_MATEUS -> SPMNB_0001 -> SPARO_0025 -> SPARO_0011 -> SPPDA_0002 -> SAO_MATEUS,501.24
14,2025-07-10,SAO_MATEUS -> SPVOM_0007 -> SPIGA_0006 -> SAO_MATEUS,535.31
15,2025-07-11,SAO_MATEUS -> SPTTE_0011 -> SPTTE_0001 -> SPTTE_0055 -> SPTMB_0004 -> SAO_MATEUS,539.01
16,2025-07-14,SAO_MATEUS -> SPSST_0005 -> SPIBL_0002 -> SPCGT_0023 -> SAO_MATEUS,478.36
17,2025-07-15,SAO_MATEUS -> SPJGU_0433 -> SPMMM_0535 -> SPMGU_0005 -> SAO_MATEUS,538.53
18,2025-07-16,SAO_MATEUS -> SPPBA_0004 -> SPCPJ_0010 -> SAO_MATEUS,466.09
19,2025-07-17,SAO_MATEUS -> SPMIU_0005 -> SAO_MATEUS,381.87
20,2025-07-18,SAO_MATEUS -> SPLRA_0069 -> SPAAS_0028 -> SAO_MATEUS,519.46
21,2025-07-21,SAO_MATEUS -> SPESP_0002 -> SAO_MATEUS,428.24
22,2025-07-22,SAO_MATEUS -> SPGTA_0043 -> SAO_MATEUS,443.77
23,2025-07-23,SAO_MATEUS -> SPAAS_0006 -> SAO_MATEUS,461.85
24,2025-07-24,SAO_MATEUS -> SPRCO_0011 -> SAO_MATEUS,470.58
25,2025-07-25,SAO_MATEUS -> SPBFE_0004 -> SAO_MATEUS,503.18
26,2025-07-28,SAO_MATEUS -> SPCBC_0003 -> SAO_MATEUS,529.18
27,2025-07-29,SAO_MATEUS -> SPPAG_0006 -> SAO_MATEUS,536.35
